datum,D STOF AT,SVI 5,SVI 10,SVI 15,SVI 20,SVI 25,SVI 30
12/9/2016,3600,61.06870229,41.98473282,33.07888041,27.98982188,26.71755725,25.44529262
12/12/2016,3200,81.72043011,64.51612903,51.61290323,45.16129032,41.93548387,37.6344086
12/16/2016,4300,107.398568,66.82577566,57.27923628,47.7326969,42.95942721,39.37947494
12/19/2016,4500,85.84686775,60.32482599,44.08352668,39.44315545,38.28306265,37.12296984
12/22/2016,5000,88.23529412,62.74509804,50.98039216,43.1372549,39.21568627,38.23529412
12/23/2016,5000,85.36585366,58.94308943,48.7804878,44.71544715,40.6504065,36.58536585
12/27/2016,5200,102.3890785,61.4334471,51.19453925,38.39590444,35.83617747,34.98293515
12/30/2016,6800,80.75601375,60.13745704,54.98281787,48.96907216,42.95532646,39.51890034
1/2/2017,5900,100,66.66666667,53.96825397,47.61904762,44.44444444,39.68253968
1/6/2017,6100,70.51282051,50,42.30769231,37.17948718,33.33333333,30.76923077
1/9/2017,7500,101.6666667,60,50,43.33333333,36.66666667,35
1/12/2017,6200,80.38585209,51.44694534,41.80064309,38.585209,35.36977492,33.76205788
1/18/2017,5800,79.38931298,39.69465649,35.11450382,30.53435115,30.53435115,29.77099237
1/20/2017,6100,50,33.33333333,27.77777778,26.38888889,25.69444444,25.69444444
1/24/2017,4200,48.54368932,29.12621359,27.91262136,26.69902913,25.48543689,24.27184466
1/27/2017,5800,37.60683761,29.05982906,25.64102564,23.93162393,23.07692308,22.22222222
1/30/2017,6000,103.5196687,37.26708075,33.126294,31.05590062,28.98550725,26.91511387
2/3/2017,4100,91.66666667,28.33333333,26.66666667,25,24.16666667,24.16666667
2/6/2017,7300,37.14285714,25.71428571,22.85714286,20.71428571,19.28571429,18.57142857
2/10/2017,6300,66.66666667,30,23.33333333,20,18.33333333,18.33333333
2/16/2017,4100,55,35,30,30,30,29.5
2/21/2017,4300,52.38095238,35.71428571,33.33333333,30.95238095,28.57142857,28.57142857
2/24/2017,4500,43.79562044,36.49635036,32.84671533,29.19708029,27.37226277,27.37226277
2/28/2017,5600,51.72413793,37.93103448,31.03448276,31.03448276,31.03448276,31.03448276
3/3/2017,6200,55.55555556,39.4265233,35.84229391,32.25806452,32.25806452,32.25806452
3/6/2017,5800,63.12292359,39.86710963,36.5448505,33.22259136,33.22259136,33.22259136
3/10/2017,6000,57.47126437,42.69293924,36.12479475,32.8407225,32.8407225,32.8407225
3/15/2017,6400,56.726094,42.13938412,35.65640194,32.41491086,32.41491086,32.41491086
3/15/2017,6400,56.726094,42.13938412,35.65640194,32.41491086,32.41491086,32.41491086
